name: Exercises 010 note jumps simple all Blowa and Draw
key: C

# Start 1
1 2  -1 -2
1 3  -1 -3
1 4  -1 -4
1 5  -1 -5
1 6  -1 -6
1 7  -1 -7
1 8  -1 -8
1 9  -1 -9
1 10  -1 -10

# Start 2
2 3  -2 -3
2 4  -2 -4
2 5  -2 -5
2 6  -2 -6
2 7  -2 -7  
2 8  -2 -8  
2 9  -2 -9  
2 10  -2 -10

# Start 3
3 4  -3 -4  
3 5  -3 -5  
3 6  -3 -6  
3 7  -3 -7  
3 8  -3 -8  
3 9  -3 -9  
3 10  -3 -10

# Start 4
4 5  -4 -5  
4 6  -4 -6  
4 7  -4 -7  
4 8  -4 -8  
4 9  -4 -9  
4 10  -4 -10 

# Start 5
5 6  -5 -6  
5 7  -5 -7  
5 8  -5 -8  
5 9  -5 -9  
5 10  -5 -10  

# Start 6
6 7  -6 -7  
6 8  -6 -8  
6 9  -6 -9  
6 10  -6 -10  

# Start 7
7 8  -7 -8  
7 9  -7 -9  
7 10  -7 -10  

# Start 8
8 9  -8 -9  
8 10  -8 -10

# Start 9
9 10  -9 -10  

  


